event_type,pre_event_time,post_event_time,gap_seconds
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,3.809
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,1.925
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,3.81
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,1.925
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,1.925
Egress,1974-09-08 04:50:20.705,1974-09-08 04:50:22.630,1.925
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,80.608
Egress,1974-09-08 08:31:35.321,1974-09-08 08:31:37.246,1.925
Egress,1974-09-08 12:14:16.298,1974-09-08 12:14:18.223,1.925
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,1.925
Egress,1974-09-08 19:38:10.003,1974-09-08 19:38:11.928,1.925
Ingress,1974-09-09 02:23:07.052,1974-09-09 02:23:08.977,1.925
Egress,1974-09-09 03:02:05.577,1974-09-09 03:02:07.502,1.925
Ingress,1974-09-09 17:10:48.604,1974-09-09 17:10:52.414,3.81
Egress,1974-09-09 17:49:49.032,1974-09-09 17:49:50.957,1.925
Ingress,1974-09-09 20:52:45.452,1974-09-09 20:52:49.262,3.81
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Egress,1974-09-10 00:00:06.897,1974-09-10 00:00:08.822,1.925
Ingress,1974-09-10 00:34:50.041,1974-09-10 00:34:51.966,1.925
Egress,1974-09-10 01:13:46.641,1974-09-10 01:13:48.566,1.925
Ingress,1974-09-10 11:40:32.878,1974-09-10 11:40:36.687,3.809
Egress,1974-09-10 12:19:33.299,1974-09-10 12:19:35.224,1.925
Ingress,1974-09-10 15:22:27.853,1974-09-10 15:22:29.778,1.925
Egress,1974-09-10 16:01:28.265,1974-09-10 16:01:30.190,1.925
Egress,1974-09-10 19:43:25.116,1974-09-10 19:43:27.041,1.925
Ingress,1974-09-10 22:46:19.669,1974-09-10 22:46:21.594,1.925
Egress,1974-09-10 23:25:18.190,1974-09-10 23:25:22.000,3.81
Egress,1974-09-11 06:49:11.846,1974-09-11 06:49:15.656,3.81
Ingress,1974-09-11 09:52:04.378,1974-09-11 09:52:06.303,1.925
Egress,1974-09-11 10:31:06.765,1974-09-11 10:31:12.500,5.735
Egress,1974-09-11 14:13:05.589,1974-09-11 14:13:19.024,13.435
Ingress,1974-09-12 00:39:46.173,1974-09-12 00:39:49.982,3.809
Egress,1974-09-12 01:18:54.273,1974-09-12 01:18:56.198,1.925
Egress,1974-09-12 05:00:51.073,1974-09-12 05:00:52.998,1.925
Ingress,1974-09-12 08:03:37.898,1974-09-12 08:03:39.823,1.925
Ingress,1974-09-12 11:44:33.291,1974-09-12 11:44:35.216,1.925
Egress,1974-09-12 12:23:56.775,1974-09-12 12:23:58.700,1.925
Ingress,1974-09-12 15:27:27.823,1974-09-12 15:27:29.748,1.925
Egress,1974-09-12 16:06:39.782,1974-09-12 16:06:41.707,1.925
Ingress,1974-09-12 19:09:24.654,1974-09-12 19:09:26.579,1.925
Egress,1974-09-12 19:48:19.334,1974-09-12 19:48:59.638,40.304
Ingress,1974-09-13 02:33:14.873,1974-09-13 02:33:16.798,1.925
Egress,1974-09-13 03:11:02.345,1974-09-13 03:13:24.390,142.045
Ingress,1974-09-13 06:15:11.560,1974-09-13 06:15:13.485,1.925
Egress,1974-09-13 06:54:25.413,1974-09-13 06:54:27.338,1.925
Ingress,1974-09-13 09:57:06.366,1974-09-13 09:57:08.291,1.925
Ingress,1974-09-13 13:38:59.461,1974-09-13 13:39:03.271,3.81
Egress,1974-09-13 14:18:17.161,1974-09-13 14:18:19.086,1.925
Ingress,1974-09-13 17:20:56.348,1974-09-13 17:21:00.158,3.81
Ingress,1974-09-13 21:02:53.218,1974-09-13 21:02:57.028,3.81
Egress,1974-09-13 21:42:10.921,1974-09-13 21:42:12.846,1.925
Ingress,1974-09-13 23:59:54.452,1974-09-13 23:59:56.377,1.925
Egress,1974-09-14 00:00:00.227,1974-09-14 00:00:02.152,1.925
Ingress,1974-09-14 00:45:09.280,1974-09-14 00:45:11.205,1.925
Egress,1974-09-14 01:24:30.873,1974-09-14 01:24:34.683,3.81
Ingress,1974-09-14 04:27:02.341,1974-09-14 04:27:08.076,5.735
Egress,1974-09-14 05:06:27.747,1974-09-14 05:06:31.557,3.81
Ingress,1974-09-14 08:08:59.224,1974-09-14 08:09:03.034,3.81
Egress,1974-09-14 08:48:24.633,1974-09-14 08:48:28.443,3.81
Ingress,1974-09-14 11:50:56.110,1974-09-14 11:51:01.845,5.735
Egress,1974-09-14 12:30:21.519,1974-09-14 12:30:25.329,3.81
