event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,1,1064402.0,4785978.5,-3.5614388376168704,0.0006005696871966131,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,2,3712359.0,4139525.0,-0.3904534896339625,0.2928449323265989,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,3,2319514.0,2454930.0,-1.5027488088930718,0.3119719238572483,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,4,1692151.0,1692151.0,0.0,0.9356321645038642,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,5,4880912.0,5271538.0,-1.8185616683143568,0.06122808724790234,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,6,681171.3125,733704.25,-0.7326776367916221,0.8789961974987421,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,7,1006566.75,836272.0,1.2546214409675682,0.09564157479280157,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,8,629805.6875,719905.6875,-1.0299673904311897,0.8909057835534009,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,9,700088.53125,645774.875,0.511993865943309,0.293554437968031,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,1,2127586.0,1324430.0,-1.4416215215060935,0.039719259593573815,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,2,3140400.0,4356211.0,4.879558067774871,0.0012100866473683312,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,3,2762812.0,3421408.0,4.381467674966073,0.004389639983931899,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,4,1949958.0,2083625.0,1.7206474135475993,0.6233455127935852,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,5,6781977.0,6275588.0,-1.8181646082395273,0.8624860138975978,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,6,851745.1875,858830.46875,0.1323915045817956,0.4130478096492419,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,7,1531288.0,1531288.0,0.0,0.24171424271372952,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,8,1017864.75,959144.71875,-0.15120081859410492,0.8329678425052682,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,9,774824.46875,774824.46875,0.0,0.5025053555333796,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,1,853111.6875,756964.9375,0.9227002157124278,0.044563172348915804,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,2,3914752.0,3709801.0,1.178189367765822,0.011465007030739474,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,3,2460525.0,2203283.0,3.156857145314435,0.06795844804084535,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,4,1762301.0,1733474.5,0.6568988778112536,0.5682152541616736,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,5,4903428.0,4903428.0,0.0,0.7056505475793795,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,6,457254.4375,438243.5,3.2772789724453637,0.3944368837282931,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,7,461764.5625,551952.9375,-0.7851497029478817,0.1326908435503331,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,8,453725.4375,551330.0625,-1.37293111602059,0.35053973027171026,Cygnus-A,rv2_coarse,per_band
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,9,381368.0,366522.4375,0.45615146658010486,0.4190372792000141,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 07:47:04.659,1974-09-08 07:47:06.584,1,71284096.0,235715760.0,1.4015657691109393,0.04197381770000806,Cygnus-A,rv2_coarse,per_band
