event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-08 19:01:14.362,1974-09-08 19:01:16.287,1.925
Egress,1974-09-08 19:16:37.867,1974-09-08 19:16:39.792,1.925
Ingress,1974-09-09 02:21:21.459,1974-09-09 02:21:23.384,1.925
Egress,1974-09-09 02:47:16.639,1974-09-09 02:47:18.564,1.925
Ingress,1974-09-09 17:06:15.937,1974-09-09 17:06:17.862,1.925
Ingress,1974-09-09 20:47:53.616,1974-09-09 20:47:57.425,3.809
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Egress,1974-09-10 00:00:04.972,1974-09-10 00:00:06.897,1.925
Ingress,1974-09-10 00:29:42.847,1974-09-10 00:29:44.772,1.925
Egress,1974-09-10 01:10:02.020,1974-09-10 01:10:05.830,3.81
Ingress,1974-09-10 11:35:25.682,1974-09-10 11:35:29.492,3.81
Egress,1974-09-10 12:19:23.714,1974-09-10 12:19:25.639,1.925
Ingress,1974-09-10 15:17:28.319,1974-09-10 15:17:30.244,1.925
Egress,1974-09-10 16:02:18.195,1974-09-10 16:02:20.120,1.925
Ingress,1974-09-10 18:59:34.791,1974-09-10 18:59:38.601,3.81
Egress,1974-09-10 19:45:03.050,1974-09-10 19:45:04.975,1.925
Ingress,1974-09-10 22:41:25.910,1974-09-10 22:41:50.854,24.944
Egress,1974-09-10 23:27:59.447,1974-09-10 23:28:01.372,1.925
Egress,1974-09-11 03:10:28.931,1974-09-11 03:10:53.875,24.944
Egress,1974-09-11 06:53:23.337,1974-09-11 06:53:25.262,1.925
Ingress,1974-09-11 09:47:22.167,1974-09-11 09:48:42.776,80.609
Egress,1974-09-11 10:35:58.601,1974-09-11 10:36:00.526,1.925
Egress,1974-09-11 14:18:31.953,1974-09-11 14:18:33.878,1.925
Egress,1974-09-11 18:00:05.796,1974-09-11 18:00:07.721,1.925
Ingress,1974-09-12 00:38:37.034,1974-09-12 00:38:38.959,1.925
Egress,1974-09-12 01:25:50.908,1974-09-12 01:25:54.717,3.809
Egress,1974-09-12 05:08:14.581,1974-09-12 05:08:16.506,1.925
Ingress,1974-09-12 08:03:58.992,1974-09-12 08:04:00.917,1.925
Egress,1974-09-12 08:50:30.659,1974-09-12 08:50:34.468,3.809
Ingress,1974-09-12 11:46:45.754,1974-09-12 11:46:47.679,1.925
Egress,1974-09-12 12:32:42.859,1974-09-12 12:32:46.668,3.809
Ingress,1974-09-12 15:29:36.475,1974-09-12 15:29:40.285,3.81
Egress,1974-09-12 16:14:55.142,1974-09-12 16:14:58.952,3.81
Ingress,1974-09-12 19:12:34.746,1974-09-12 19:12:38.555,3.809
Egress,1974-09-12 19:57:03.490,1974-09-12 19:57:05.415,1.925
Ingress,1974-09-13 02:38:47.048,1974-09-13 02:38:50.857,3.809
Egress,1974-09-13 03:21:01.365,1974-09-13 03:21:05.175,3.81
Ingress,1974-09-13 06:22:04.341,1974-09-13 06:22:06.266,1.925
